form='s.k.'	lemma='s.k.'	Abbr=Yes	in_treebanks={None}	Vid RFSU-laboratoriet användes en snabb s.k. immunologisk metod utarbetad av svenska forskare.
form='Kungl.'	lemma='Kungl.'	Abbr=Yes	in_treebanks={None}	Ansökan beräknas lämnas till Kungl. Maj:t i juni 1970.
form='udda'	lemma='udda'	Case=Nom|Degree=Pos	in_treebanks={None}	Detta betyder att udda husnummer t o m 17 och jämna husnummer t o m 18 har postnumret 50232.
form='rädda'	lemma='rädda'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={None}	Motståndarna är ofta av någon anledning rädda för hundar.
form='medeltida'	lemma='medeltida'	Case=Nom|Degree=Pos	in_treebanks={None}	Kritikerna har menat att dessa stadsdelar ger intryck av stel och formell monumentalitet, saknar den naturvuxna medeltida stadens intimitet, har öppna platser, som saknar annan uppgift än att omge en ointressant staty och som är folktomma, livlösa, har husen grupperade i stora, likformiga kvartersblock, utan omväxling i stadsbilden.
form='framtida'	lemma='framtida'	Case=Nom|Degree=Pos	in_treebanks={None}	Därför har man ännu inte fått känna av de framtida men som de ger soldaterna.
form='förtida'	lemma='förtida'	Case=Nom|Degree=Pos	in_treebanks={None}	Både vid förtida uttag och uppskjutet uttag blir det dock vissa ändringar i pensionsbeloppen.
form='nutida'	lemma='nutida'	Case=Nom|Degree=Pos	in_treebanks={None}	Varken arbete eller ekonomi är på sådant sätt som förr förenande band i nutida äktenskap.
form='enda'	lemma='enda'	Case=Nom|Degree=Pos	in_treebanks={None}	I en del större städer och också på vissa orter som ligger i de tre största städernas närområden har varje ort inte bara ett enda eller några få postnummer utan en hel nummerserie.
form='sistnämnda'	lemma='sistnämnda'	Case=Nom|Definite=Def|Number=Sing|Tense=Past|VerbForm=Part	in_treebanks={None}	I alla test var moshavbarnen något överlägsna, men bara för det sistnämnda testet var skillnaden signifikant stor.
